GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
dubbo-container-api/dubbo-common,org.apache.dubbo.common.extension,AdaptiveClassCodeGenerator,857,0,54,0,117,0,55,0,28,0
dubbo-container-api/dubbo-common,org.apache.dubbo.common.extension,ExtensionLoader,2013,0,222,0,383,0,160,0,49,0
dubbo-container-api/dubbo-common,org.apache.dubbo.common.bytecode,NoSuchPropertyException,7,0,0,0,4,0,2,0,2,0
dubbo-container-api/dubbo-common,org.apache.dubbo.common.bytecode,Proxy,664,0,56,0,125,0,36,0,8,0
dubbo-container-api/dubbo-common,org.apache.dubbo.common.bytecode,ClassGenerator,863,0,96,0,182,0,82,0,34,0
dubbo-container-api/dubbo-common,org.apache.dubbo.common.bytecode,Proxy.new InvocationHandler() {...},18,0,0,0,2,0,2,0,2,0
dubbo-container-api/dubbo-common,org.apache.dubbo.common.bytecode,NoSuchMethodException,7,0,0,0,4,0,2,0,2,0
dubbo-container-api/dubbo-common,org.apache.dubbo.common.bytecode,Mixin,477,0,44,0,81,0,30,0,8,0
dubbo-container-api/dubbo-common,org.apache.dubbo.common.bytecode,Wrapper,1133,0,96,0,175,0,59,0,11,0
dubbo-container-api/dubbo-common,org.apache.dubbo.common.bytecode,Wrapper.new Wrapper() {...},106,0,10,0,19,0,14,0,9,0
dubbo-container-api/dubbo-common,org.apache.dubbo.common.threadlocal,InternalThread,46,0,0,0,19,0,10,0,10,0
dubbo-container-api/dubbo-common,org.apache.dubbo.common.threadlocal,InternalThreadLocal,202,0,30,0,68,0,29,0,14,0
dubbo-container-api/dubbo-common,org.apache.dubbo.common.threadlocal,InternalThreadLocalMap,262,0,24,0,74,0,28,0,16,0
dubbo-container-api/dubbo-common,org.apache.dubbo.common.threadlocal,NamedInternalThreadFactory,40,0,0,0,10,0,4,0,4,0
