GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
dubbo-demo-xml-provider/dubbo-config-spring,org.apache.dubbo.config.spring.context.annotation,DubboConfigBindingsRegistrar,50,0,2,0,12,0,4,0,3,0
dubbo-demo-xml-provider/dubbo-config-spring,org.apache.dubbo.config.spring.context.annotation,DubboComponentScanRegistrar,99,0,4,0,25,0,7,0,5,0
dubbo-demo-xml-provider/dubbo-config-spring,org.apache.dubbo.config.spring.context.annotation,DubboConfigConfiguration.Single,3,0,0,0,1,0,1,0,1,0
dubbo-demo-xml-provider/dubbo-config-spring,org.apache.dubbo.config.spring.context.annotation,DubboConfigConfiguration.Multiple,3,0,0,0,1,0,1,0,1,0
dubbo-demo-xml-provider/dubbo-config-spring,org.apache.dubbo.config.spring.context.annotation,DubboConfigConfiguration,3,0,0,0,1,0,1,0,1,0
dubbo-demo-xml-provider/dubbo-config-spring,org.apache.dubbo.config.spring.context.annotation,DubboConfigBindingRegistrar,267,0,20,0,58,0,20,0,10,0
dubbo-demo-xml-provider/dubbo-config-spring,org.apache.dubbo.config.spring.context.annotation,DubboClassPathBeanDefinitionScanner,29,0,0,0,9,0,4,0,4,0
dubbo-demo-xml-provider/dubbo-config-spring,org.apache.dubbo.config.spring.context.annotation,DubboConfigConfigurationRegistrar,32,0,2,0,8,0,3,0,2,0
dubbo-demo-xml-provider/dubbo-config-spring,org.apache.dubbo.config.spring.context.config,NamePropertyDefaultValueDubboConfigBeanCustomizer,52,0,10,0,15,0,8,0,3,0
dubbo-demo-xml-provider/dubbo-config-spring,org.apache.dubbo.config.spring.status,DataSourceStatusChecker,143,0,14,0,37,0,10,0,3,0
dubbo-demo-xml-provider/dubbo-config-spring,org.apache.dubbo.config.spring.status,SpringStatusChecker,139,0,28,0,39,0,17,0,3,0
dubbo-demo-xml-provider/dubbo-config-spring,org.apache.dubbo.config.spring.beans.factory.annotation,AnnotationInjectedBeanPostProcessor,556,0,50,0,119,0,50,0,25,0
dubbo-demo-xml-provider/dubbo-config-spring,org.apache.dubbo.config.spring.beans.factory.annotation,ReferenceBeanBuilder.new PropertyEditorSupport() {...},31,0,2,0,9,0,3,0,2,0
dubbo-demo-xml-provider/dubbo-config-spring,org.apache.dubbo.config.spring.beans.factory.annotation,AnnotationPropertyValuesAdapter,65,0,0,0,16,0,10,0,10,0
